B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDWI,MNDWI,NDMI,NDVI,GNDVI,NPCRI,NDRE,NDBI,EVI,SAVI,ARVI,SLAVI,IBI,BSI,AVI,MSAVI
0.47312704,0.4910042,0.49978706,0.52309,0.568339,0.5904474,0.5469162,0.59388304,0.6270444,0.5714036,0.58300036,0.5556457,0.51985544,0.35323146,0.41699964,0.4775851,0.46344256,0.48014453,0.49516436,0.23177436,0.33351517,0.108832285,0.4841851,0.49459055,0.33673894,0.19103654
0.35749185,0.3700837,0.3620102,0.38595086,0.46541756,0.50372416,0.49108204,0.5179988,0.52323645,0.3895643,0.528741,0.58252275,0.54513174,0.42682543,0.47125903,0.46649307,0.526096,0.45486826,0.4952304,0.33439797,0.38108593,0.12947918,0.51136893,0.47171593,0.42061648,0.2840189
0.51832247,0.4799163,0.45379046,0.47696003,0.5157427,0.53497577,0.5417464,0.5348678,0.56039006,0.51230294,0.57882875,0.57990205,0.556127,0.38314095,0.42117122,0.42841566,0.4899435,0.44387302,0.49541104,0.2767731,0.37981427,0.12274512,0.52817106,0.43995044,0.39930165,0.2328752
0.5417345,0.5294979,0.52640545,0.5316456,0.5606999,0.5723215,0.5566355,0.58079773,0.612294,0.5674481,0.6010486,0.5792107,0.5345993,0.34135213,0.39895144,0.4556692,0.4638699,0.46540067,0.4951804,0.21371031,0.34112325,0.10944575,0.5005167,0.47110713,0.30781367,0.17419782
0.22516286,0.24110879,0.24052384,0.25306448,0.32244244,0.35262254,0.35894123,0.35551,0.3380238,0.24047467,0.49276334,0.59439284,0.5855824,0.45998943,0.50723666,0.4805189,0.56025463,0.41441765,0.49520054,0.35256785,0.39396274,0.14770536,0.5339319,0.4544578,0.3146837,0.29320514
0.5842834,0.5546025,0.52853495,0.5281433,0.56390005,0.5761238,0.60213,0.5730201,0.5792754,0.50770754,0.5912616,0.6237164,0.5822001,0.3667404,0.4087384,0.43693945,0.4910528,0.41779986,0.4953827,0.25529,0.36602727,0.12479825,0.5446596,0.43205342,0.4076591,0.21427315
0.495114,0.48870292,0.48339012,0.5027768,0.53267264,0.5510183,0.49377036,0.55194706,0.5178671,0.4899075,0.6129935,0.5976765,0.55070925,0.3298638,0.38700652,0.45691195,0.44351465,0.44929072,0.49514598,0.19432235,0.33457586,0.11021417,0.5131155,0.46355784,0.2350958,0.15524848
0.57410425,0.5803347,0.5717632,0.6062941,0.63182616,0.6462316,0.61660546,0.6408114,0.6514843,0.5306265,0.5980502,0.6242484,0.54935867,0.34778607,0.40194982,0.46212533,0.45445135,0.45064133,0.4951914,0.22577013,0.34026116,0.113736466,0.51315373,0.4677831,0.36198235,0.18651207
0.38660422,0.40502092,0.3903322,0.40341222,0.45282337,0.4710662,0.47288424,0.47622052,0.4947232,0.42760748,0.5679024,0.58218807,0.5513093,0.38868758,0.4320976,0.46571544,0.50011194,0.4486907,0.49519852,0.27917427,0.3598496,0.12285095,0.5199006,0.46838933,0.35244563,0.23293617
0.5223941,0.53221756,0.52853495,0.5441037,0.5845979,0.5868535,0.5682159,0.5968259,0.61858916,0.57890755,0.5963001,0.5750326,0.5383688,0.34698868,0.40369985,0.46626386,0.46302503,0.46163118,0.4951727,0.22290525,0.33723828,0.11134863,0.5034251,0.47662553,0.33204472,0.18305244
0.38762215,0.42426777,0.44250426,0.48206335,0.52647877,0.5478931,0.49004808,0.5542593,0.5700796,0.5421441,0.5713681,0.5287369,0.5141475,0.3577635,0.4286319,0.49794072,0.4545671,0.48585248,0.49515,0.2358726,0.32388023,0.10853128,0.47403926,0.5112925,0.31005257,0.19370712
0.49389252,0.49790794,0.48296422,0.4884675,0.54299575,0.56362313,0.576074,0.5709706,0.6066161,0.5317899,0.5713924,0.57991254,0.55019355,0.38262662,0.4286076,0.4573285,0.50188893,0.44980642,0.49523884,0.278377,0.3615489,0.12130564,0.51752734,0.46349823,0.42513284,0.23532669
0.45236155,0.44937238,0.43398637,0.43673387,0.4705275,0.47580603,0.47681332,0.47154343,0.47120905,0.41626433,0.59761554,0.61938846,0.57129586,0.35514283,0.4023845,0.45232394,0.47742873,0.42870417,0.49518564,0.2313228,0.3502616,0.11984054,0.5336313,0.4490571,0.29537192,0.189232
0.40940553,0.40648535,0.3931005,0.41812178,0.46371424,0.48773372,0.4584087,0.49356246,0.47534406,0.38991332,0.5785296,0.6090835,0.55420893,0.37577417,0.42147043,0.45254084,0.47880962,0.4457911,0.49520233,0.25971818,0.36082524,0.12072838,0.5211639,0.4580569,0.32048225,0.21474256
0.4315961,0.41087866,0.39693356,0.43703407,0.48332816,0.50143236,0.44455358,0.50990593,0.4264025,0.3591414,0.59127676,0.6350038,0.581157,0.36204636,0.4087232,0.44126505,0.4548961,0.41884297,0.49520576,0.23932937,0.36086512,0.12348683,0.5404864,0.4358074,0.28650743,0.19580944
0.42467427,0.43933055,0.4318569,0.43663383,0.48270878,0.49486953,0.48963448,0.4937201,0.49021786,0.4467454,0.5824417,0.5931512,0.5669354,0.3658495,0.41755834,0.46759844,0.48594934,0.43306455,0.49517906,0.24770455,0.34633148,0.121316046,0.5260313,0.46172014,0.32640874,0.20459956
0.18770358,0.18451883,0.16865417,0.21008655,0.28429854,0.305068,0.30165952,0.31220767,0.28778622,0.22837532,0.46426183,0.5321766,0.57927877,0.5192488,0.53573817,0.43518087,0.56410134,0.4207212,0.49523214,0.39774728,0.4541521,0.16007553,0.5489976,0.43062466,0.2811732,0.3285658
0.20745113,0.22384937,0.24063033,0.3096513,0.38814905,0.42924112,0.31634182,0.44190446,0.39801273,0.39218196,0.5077125,0.43920067,0.4839273,0.41844782,0.4922875,0.5021173,0.45682284,0.5160727,0.4951642,0.29542586,0.35709304,0.11286246,0.44634447,0.5309186,0.24374093,0.2405871
